Company,Target Price,Entry Price,LTP,%Increase
adaniportsspecialeconomiczone,782.4567370702572,586.8425528026929,712.2,9.86474825473984
asianpaints,2912.0003974616548,2184.000298096241,3003.9,-3.0593429387910827
bajajauto,3701.7456341110505,2776.309225583288,4196.15,-11.782332993075775
bajajfinance,8990.409671638134,6742.807253728601,6075.8,47.97079679446548
bajajfinserv,12884.192022545938,9663.144016909453,12486.6,3.184149588726616
bhartiairtel,541.0502704242174,405.78770281816304,535.1,1.1119922302779601
bharatpetroleumcorporation,573.8025201895812,430.3518901421859,470.05,22.072656140746975
britanniaindustries,4401.879012486913,3301.409259365185,3670.05,19.940573356954612
cipla,911.2309929120896,683.4232446840672,957.1,-4.792498912121033
coalindia,140.98515383287895,105.73886537465921,148.75,-5.220064650165412
divislaboratories,4636.741030001017,3477.555772500763,4248.75,9.131886554893015
drreddyslaboratories,5531.113577387136,4148.335183040352,5309.3,4.177830926621879
eichermotors,2170.082644257924,1627.5619831934432,2720.8,-20.241008370408554
grasimindustries,1579.4698960112037,1184.6024220084028,1506.85,4.819318181053441
hcltechnologies,1134.7612400217238,851.0709300162928,995.65,13.971901774893167
housingdevelopmentfinancecorporation,5570.899490009356,4178.174617507017,2509.2,122.01894986487152
heromotocorp,2710.169756591242,2032.6273174434314,2939.2,-7.792264677761228
hindalcoindustries,359.57293792430823,269.6797034432312,375.9,-4.343458918779394
hindustanunilever,2779.1175595044224,2084.338169628317,2448.65,13.495908337427656
infosys,1448.3234556322857,1086.2425917242142,1574.2,-7.996223120805129
indianoilcorporation,182.13666121107667,136.6024959083075,111.4,63.49790054854279
itc,220.99470435432724,165.74602826574542,205.05,7.776007975775288
jswsteel,685.4566387797422,514.0924790848067,689.5,-0.5864193212846691
larsentoubro,1441.0736669049531,1080.805250178715,1523.85,-5.432052570466041
mahindramahindra,752.4710989043917,564.3533241782939,794.25,-5.260170109613883
marutisuzukiindia,5700.6252310367645,4275.468923277574,7649.0,-25.47228093820415
ntpc,173.46226912789388,130.0967018459204,116.05,49.472011312273914
oilnaturalgascorporation,137.93376148995443,103.45032111746582,120.9,14.089132746033439
powergridcorporationindia,258.333982752617,193.75048706446273,230.85,11.905558913847512
relianceindustries,2472.850819057293,1854.6381142929697,2104.45,17.505800520672533
shreecements,34487.15647148036,25865.367353610272,28729.1,20.042592602902154
sunpharmaceuticalindustries,673.2479069655537,504.9359302241653,672.25,0.1484428360808834
tataconsumerproducts,764.5019317765621,573.3764488324216,757.6,0.9110258416792552
tatamotors,315.1420484761366,236.35653635710247,339.65,-7.215648910308663
tatasteel,1231.623608821677,923.7177066162577,1165.25,5.69608314281716
tataconsultancyservices,3514.0912286370444,2635.5684214777834,3380.8,3.942594316050764
techmahindra,951.5462058049036,713.6596543536778,1089.5,-12.66211970583721
titancompany,1650.5347308663393,1237.9010481497544,1753.85,-5.89076997084475
ultratechcement,8442.461734589198,6331.846300941899,6923.0,21.948024477671506
upl,952.9138646305919,714.6853984729439,805.15,18.35233989077711
wipro,194.30506552661774,145.72879914496332,547.5,-64.51049031477302
